INE_NUM;Municipio;€
28001;Acebeda, La;16893
28002;Ajalvir;16039
28003;Alameda del Valle;19327
28004;Álamo, El;12605
28005;Alcalá de Henares;15598
28006;Alcobendas;21644
28007;Alcorcón;15667
28008;Aldea del Fresno;12649
28009;Algete;18232
28010;Alpedrete;17829
28011;Ambite;12672
28012;Anchuelo;13676
28013;Aranjuez;14173
28014;Arganda del Rey;13968
28015;Arroyomolinos;17420
28016;Atazar, El;13811
28017;Batres;16503
28018;Becerril de la Sierra;17515
28019;Belmonte de Tajo;13173
28020;Berzosa del Lozoya;19798
28021;Berrueco, El;15781
28022;Boadilla del Monte;26668
28023;Boalo, El;17915
28024;Braojos;17607
28025;Brea de Tajo;12793
28026;Brunete;15529
28027;Buitrago del Lozoya;14627
28028;Bustarviejo;16087
28029;Cabanillas de la Sierra;17287
28030;Cabrera, La;15209
28031;Cadalso de los Vidrios;12228
28032;Camarma de Esteruelas;15491
28033;Campo Real;14076
28034;Canencia;15186
28035;Carabaña;12333
28036;Casarrubuelos;13772
28037;Cenicientos;11511
28038;Cercedilla;15770
28039;Cervera de Buitrago;18596
28040;Ciempozuelos;12927
28041;Cobeña;19766
28042;Colmenar del Arroyo;15331
28043;Colmenar de Oreja;12312
28044;Colmenarejo;16340
28045;Colmenar Viejo;17736
28046;Collado Mediano;18271
28047;Collado Villalba;14647
28048;Corpa;13602
28049;Coslada;15265
28050;Cubas de la Sagra;15046
28051;Chapinería;14037
28052;Chinchón;13062
28053;Daganzo de Arriba;17623
28054;Escorial, El;17477
28055;Estremera;12029
28056;Fresnedillas de la Oliva;12542
28057;Fresno de Torote;15092
28058;Fuenlabrada;13454
28059;Fuente el Saz de Jarama;14563
28060;Fuentidueña de Tajo;12553
28061;Galapagar;17032
28062;Garganta de los Montes;17957
28063;Gargantilla del Lozoya y Pinilla de Buitrago;15573
28064;Gascones;17107
28065;Getafe;15867
28066;Griñón;16818
28067;Guadalix de la Sierra;15394
28068;Guadarrama;16602
28069;Hiruela, La;16893
28070;Horcajo de la Sierra-Aoslos;17763
28071;Horcajuelo de la Sierra;15223
28072;Hoyo de Manzanares;19583
28073;Humanes de Madrid;12552
28074;Leganés;14531
28075;Loeches;14785
28076;Lozoya;17234
28078;Madarcos;16893
28079;Madrid;19632
28080;Majadahonda;24019
28082;Manzanares el Real;17549
28083;Meco;16076
28084;Mejorada del Campo;13212
28085;Miraflores de la Sierra;16029
28086;Molar, El;13106
28087;Molinos, Los;16704
28088;Montejo de la Sierra;15317
28089;Moraleja de Enmedio;15002
28090;Moralzarzal;18091
28091;Morata de Tajuña;12762
28092;Móstoles;14045
28093;Navacerrada;18244
28094;Navalafuente;14569
28095;Navalagamella;12374
28096;Navalcarnero;14381
28097;Navarredonda y San Mamés;20421
28099;Navas del Rey;12848
28100;Nuevo Baztán;15209
28101;Olmeda de las Fuentes;19861
28102;Orusco de Tajuña;11961
28104;Paracuellos de Jarama;20187
28106;Parla;11522
28107;Patones;16173
28108;Pedrezuela;16314
28109;Pelayos de la Presa;11855
28110;Perales de Tajuña;12690
28111;Pezuela de las Torres;14071
28112;Pinilla del Valle;18175
28113;Pinto;15301
28114;Piñuécar-Gandullas;15504
28115;Pozuelo de Alarcón;30524
28116;Pozuelo del Rey;13316
28117;Prádena del Rincón;18613
28118;Puebla de la Sierra;16893
28119;Quijorna;14615
28120;Rascafría;16346
28121;Redueña;16341
28122;Ribatejada;15798
28123;Rivas-Vaciamadrid;18478
28124;Robledillo de la Jara;16345
28125;Robledo de Chavela;14986
28126;Robregordo;16893
28127;Rozas de Madrid, Las;24183
28128;Rozas de Puerto Real;13987
28129;San Agustín del Guadalix;19468
28130;San Fernando de Henares;14948
28131;San Lorenzo de El Escorial;17163
28132;San Martín de la Vega;12720
28133;San Martín de Valdeiglesias;12826
28134;San Sebastián de los Reyes;18761
28135;Santa María de la Alameda;13624
28136;Santorcaz;14092
28137;Santos de la Humosa, Los;13849
28138;Serna del Monte, La;13668
28140;Serranillos del Valle;15505
28141;Sevilla la Nueva;15739
28143;Somosierra;16893
28144;Soto del Real;19413
28145;Talamanca de Jarama;14271
28146;Tielmes;12425
28147;Titulcia;13487
28148;Torrejón de Ardoz;14463
28149;Torrejón de la Calzada;15061
28150;Torrejón de Velasco;14286
28151;Torrelaguna;14444
28152;Torrelodones;25127
28153;Torremocha de Jarama;16924
28154;Torres de la Alameda;14014
28155;Valdaracete;13837
28156;Valdeavero;13680
28157;Valdelaguna;13311
28158;Valdemanco;14905
28159;Valdemaqueda;12322
28160;Valdemorillo;17550
28161;Valdemoro;15196
28162;Valdeolmos-Alalpardo;17819
28163;Valdepiélagos;13885
28164;Valdetorres de Jarama;15147
28165;Valdilecha;11773
28166;Valverde de Alcalá;15238
28167;Velilla de San Antonio;15398
28168;Vellón, El;14195
28169;Venturada;22409
28170;Villaconejos;11595
28171;Villa del Prado;12536
28172;Villalbilla;18420
28173;Villamanrique de Tajo;12034
28174;Villamanta;12981
28175;Villamantilla;14892
28176;Villanueva de la Cañada;20858
28177;Villanueva del Pardillo;18671
28178;Villanueva de Perales;13516
28179;Villar del Olmo;13648
28180;Villarejo de Salvanés;12793
28181;Villaviciosa de Odón;22250
28182;Villavieja del Lozoya;17205
28183;Zarzalejo;12921
28901;Lozoyuela-Navas-Sieteiglesias;13324
28902;Puentes Viejas;15552
28903;Tres Cantos;23133
;;
;;
;;
